AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
-,-,400B01-EE-AREA-11.FL-0008,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 11,,,,,,CRA,,,
-,-,400B01-EE-AREA-12.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 12,,,,,,CRA,,,
-,-,400B01-EE-AREA-12.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 12,,,,,,CRA,,,
-,-,400B01-EE-AREA-12.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 12,,,,,,CRA,,,
-,-,400B01-EE-AREA-12.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,โรงพยาบาล 400B - ชั้น 12,,,,,,CRA,,,
-,-,400B02-EE-AREA-B2.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB2,,,,,,CRA,,,
-,-,400B02-EE-AREA-B2.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB2,,,,,,CRA,,,
-,-,400B02-EE-AREA-B2.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB2,,,,,,CRA,,,
-,-,400B02-EE-AREA-B2.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB2,,,,,,CRA,,,
-,-,400B02-EE-AREA-B1.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้นB1,,,,,,CRA,,,
