ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
827,N/A,31,100B01-FP-FHC-7.FL-002,,100B-FHC-7FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.31",,FL.7,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F7,"โรงพยาบาล 100B - ชั้น 7",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
828,N/A,32,100B01-FP-FHC-7.FL-003,,100B-FHC-7FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.32",,FL.7,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F7,"โรงพยาบาล 100B - ชั้น 7",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
830,N/A,33,100B01-FP-FHC-7.FL-004,,100B-FHC-7FL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.33",,FL.7,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F7,"โรงพยาบาล 100B - ชั้น 7",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
832,N/A,34,100B01-FP-FHC-8.FL-001,,100B-FHC-8FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.34",,FL.8,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F8,"โรงพยาบาล 100B - ชั้น 8",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
833,N/A,35,100B01-FP-FHC-8.FL-002,,100B-FHC-8FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.35",,FL.8,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F8,"โรงพยาบาล 100B - ชั้น 8",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
834,N/A,36,100B01-FP-FHC-8.FL-003,,100B-FHC-8FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.36",,FL.8,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F8,"โรงพยาบาล 100B - ชั้น 8",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
835,N/A,37,100B01-FP-FHC-8.FL-004,,100B-FHC-8FL-004,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.37",,FL.8,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F8,"โรงพยาบาล 100B - ชั้น 8",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
836,N/A,38,100B01-FP-FHC-9.FL-001,,100B-FHC-9FL-001,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.38",,FL.9,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F9,"โรงพยาบาล 100B - ชั้น 9",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
837,N/A,39,100B01-FP-FHC-9.FL-002,,100B-FHC-9FL-002,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.39",,FL.9,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F9,"โรงพยาบาล 100B - ชั้น 9",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
838,N/A,40,100B01-FP-FHC-9.FL-003,,100B-FHC-9FL-003,,,"Fire Hose Cabinet",,,,,,,,,"Fire Hose Cabinet No.40",,FL.9,"In Use",,,2022-08-26,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F9,"โรงพยาบาล 100B - ชั้น 9",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
